,label,nPos,nNeg,log_nPos,log_nNeg,rPos,rNeg,rTot,rCount,adj_rCount,radious,PosNeg,rPositiveness,adj_rPositiveness,theta,xp,yp,x,y
0,원단,337220,294860,12.728490815331972,12.59425594640381,0.13215575897661389,0.13025404973207935,0.13126176430032213,0.5895917471917944,0.9067861527099094,0.9067861527099094,0.5036235483229319,0.45520826716961166,0.6072583371006147,0.9538791653332227,0.5245969606175738,0.7396344743569238,0.6651895997611161,0.9378574351399396
1,착용감,114225,99415,11.645925466431473,11.507058286692182,0.044764520399453535,0.04391645646786498,0.04436584502771931,0.19813157380199287,0.643221316998963,0.643221316998963,0.5047815436948636,0.48469952680334266,0.6651116010880918,1.044754859897847,0.3229703890821956,0.5562587441272053,0.44251185556648126,0.7621475446659753
2,필터,125698,109716,11.741637483552793,11.605650487952428,0.0492607632757322,0.04846691080650078,0.048887572745532265,0.21850164792346677,0.665186767868744,0.665186767868744,0.5040615540924642,0.46636318383288144,0.6291410354489867,0.9882524275192061,0.3659525256064693,0.5554747385344474,0.5117580943822554,0.7767911785791626
3,보관,48108,43183,10.781203762430508,10.673202178264951,0.018853416917285277,0.019076038220105753,0.018958071327586236,0.08367129095602015,0.5197965467010464,0.5197965467010464,0.4970653242708855,0.2881866253365893,0.33792121772614453,0.5308054075502863,0.448272349729825,0.26313561224211846,0.6798643644673642,0.39907999209306594
4,향균,25275,20286,10.137571043888672,9.91768627193594,0.009905215610384663,0.008961316058010451,0.00946148785483954,0.040889831895902506,0.215480092837823,0.215480092837823,0.5250151847982588,1.0,1.0,1.5707963267948966,1.3194350298690721e-17,0.215480092837823,2.6388700597381442e-17,0.430960185675646
5,냄새,28435,24748,10.2553760597409,10.116499956650879,0.01114361249777598,0.010932399181881231,0.011044320989090039,0.048020386913532435,0.24798697848028822,0.24798697848028822,0.504783774328435,0.48475633548789937,0.6652230431853524,1.0449299127348743,0.12448017491572257,0.21448129883216868,0.2878522521649136,0.49597395696057645
6,디자인,186378,152583,12.135532148516967,11.935463989267681,0.07304111869563888,0.0674033564073454,0.07039080320371074,0.3153722305015993,0.7597670341906385,0.7597670341906385,0.5200711430056592,0.8740875622824427,0.903456358852269,1.419145929904636,0.11477784852604421,0.7510472633134159,0.12834820291737756,0.8398446894604257
7,숨쉬기,220294,188497,12.302718296831705,12.146837370624192,0.08633272275664013,0.08326832263565001,0.08489214638984462,0.38069978978801994,0.7947915295191593,0.7947915295191593,0.5090341427846217,0.5930026400230533,0.778832391478822,1.2233870597238186,0.2705971050266636,0.7473090272080175,0.31255863972803655,0.8631943530127728
8,브랜드,38283,33384,10.552761212402086,10.415832022271388,0.015003021531646135,0.014747341776625305,0.014882826322793296,0.06531259092112514,0.5,0.5,0.5042970862636448,0.4723616019446868,0.6409081851346725,1.0067362230223271,0.2673108769971638,0.4225457312990005,0.42174666108587444,0.6666666666666666
9,여름용마스크,28331,25796,10.251711890471977,10.157974720130268,0.011102855131861836,0.01139535191917764,0.011240358050062548,0.04890352046596521,0.2565511880968243,0.2565511880968243,0.4934995533943606,0.197375317050814,0.23675735998838332,0.37189759141140954,0.23901321267382905,0.09322658569971921,0.5043674587312162,0.19672743439385543
10,방한,13206,10922,9.488426550754516,9.298534382712099,0.005175401675598016,0.0048247803404116215,0.005010574371975339,0.02083877105978833,0.12407100336328131,0.12407100336328131,0.517530747671646,0.8093900166931859,0.8747715587361777,1.374087951247434,0.024248715962588183,0.12167832037687355,0.049451085623653065,0.24814200672656261
11,가격,39906,34189,10.594281967512476,10.439659233887385,0.015639071578556294,0.015102949556705084,0.015387040288938692,0.06758404035471284,0.5024493485217153,0.5024493485217153,0.5087196937945676,0.584994406974782,0.7752817998422996,1.2178098034232205,0.17369761034769848,0.47147055898475276,0.24621269630321385,0.6682995656811436
12,유통,957,896,6.863803391452954,6.79794041297493,0.0003750461459599653,0.0003958069204366245,0.0003848057987098103,0.0,0.0,0.0,0.4865338964183492,0.019977372829002454,0.15810484659453433,0.24835051227916513,0.0,0.0,0.0,0.0
13,원산지,31328,28582,10.352267545330237,10.26053242804174,0.012277372686137714,0.012626064062410269,0.012441292714897322,0.054313648997446964,0.33681712191872093,0.33681712191872093,0.4929991314091842,0.18463081474192813,0.23110685967991168,0.36302180628230885,0.31486609255782483,0.11960400233678563,0.5578780812791473,0.21191374020274586
14,차단(바이러스),28219,26419,10.247750788917848,10.181838727246433,0.011058962583954295,0.01167056141854373,0.01134647556929661,0.04938157263258932,0.26364368198978466,0.26364368198978466,0.48654615832425224,0.020289653049939325,0.15824330154883282,0.24856799681280375,0.2555407809815134,0.06486062217161431,0.5090957879931898,0.12921722093576654
15,차단(먼지),552172,518602,13.22161487092674,13.158892008616094,0.216394963957164,0.2290918086520919,0.22236375839595166,1.0,1.0,1.0,0.4857494706065443,0.0,0.149247525327934,0.23443746456834702,0.9726451698809105,0.232295874925352,1.0,0.23882900169420881
16,사이즈,161420,138595,11.991764942878364,11.839311290051144,0.06326013467174253,0.061224174261064704,0.06230302844032582,0.2789373583267613,0.7303557809870834,0.7303557809870834,0.5081775784760824,0.5711880792498265,0.7691605204719527,1.2081945202729942,0.25906308265556977,0.682865935617121,0.31117846589468817,0.8202371873247223
17,차단(자외선),32495,28681,10.388841510328449,10.263990161609186,0.012734717359424318,0.012669797193128156,0.01270419834963376,0.05549802090145109,0.35438874083944033,0.35438874083944033,0.501277728928098,0.3954660864115979,0.49269108565165376,0.7739173475862074,0.2534510891953307,0.24769724467475315,0.5695924938929602,0.5566616098302671
18,끈조절,186172,171797,12.134426256577658,12.054068826214518,0.07296038775930894,0.07589111775697632,0.074338125719564,0.33315464847261866,0.7693008392487013,0.7693008392487013,0.4901555245024151,0.11221122515073378,0.1989983548982755,0.3125858849124384,0.7320217054626419,0.236575577776577,0.8462005594991342,0.27347602507476043
19,모자,6838,6168,8.830250570199247,8.727129915243166,0.002679796808855008,0.0027247065683628346,0.002700908914203882,0.010433886133774153,0.07663705136702074,0.07663705136702074,0.49584515390469186,0.2571119233653943,0.2930903855080025,0.46038530097487046,0.06865770713693571,0.03404933028607383,0.1532741027340415,0.07601303285418623
20,피부,25391,22678,10.142150059508008,10.029150570531785,0.0099506757492889,0.010017979175961797,0.009982315131236845,0.04323612315596757,0.22617640209934264,0.22617640209934264,0.49831477315510647,0.32000697828166846,0.3838277852396559,0.6029152751762719,0.18629834088480274,0.1282524582617166,0.4523528041986853,0.3114110349266935
21,밀착력,284686,251072,12.559142097487298,12.433495029569224,0.11156780262148243,0.11091075349091985,0.11125892342426906,0.4994803170673979,0.8584741172089244,0.8584741172089244,0.501476657215967,0.40053229473007607,0.5,0.7853981633974483,0.6070328697515656,0.6070328697515656,0.9056494114726165,0.9056494114726164
22,운동,36649,32661,10.509141421812947,10.39393698454929,0.014362660609495056,0.014427957397746197,0.014393356669496466,0.06310756360853609,0.4672856984232734,0.4672856984232734,0.4988660057898945,0.3340455013579743,0.40408087320837627,0.6347287513637918,0.3762736617377769,0.2770813155616442,0.6448571322821822,0.47486146581945976
